Rank,Mark,WIND,Competitor,DOB,Unnamed: 5,Pos,Unnamed: 7,Venue,Date,Results Score
1,2.1,,Yaroslava MAHUCHIKH,19 SEP 2001,UKR,1.0,,"Stade Charléty, Paris (FRA)",07 JUL 2024,1319
2,2.09,,Stefka KOSTADINOVA,25 MAR 1965,BUL,1.0,,"Stadio Olimpico, Roma (ITA)",30 AUG 1987,1309
3,2.08,,Stefka KOSTADINOVA,25 MAR 1965,BUL,1.0,,Sofia (BUL),31 MAY 1986,1299
3,2.08,,Kajsa BERGQVIST,12 OCT 1976,SWE,1.0,,Arnstadt (GER) (i),04 FEB 2006,1299
3,2.08,,Blanka VLAŠIĆ,08 NOV 1983,CRO,1.0,,Zagreb (CRO),31 AUG 2009,1299
6,2.07,,Lyudmila ANDONOVA,06 MAY 1960,BUL,1.0,,Berlin (GDR),20 JUL 1984,1289
6,2.07,,Stefka KOSTADINOVA,25 MAR 1965,BUL,1.0,,Sofia (BUL),25 MAY 1986,1289
6,2.07,,Stefka KOSTADINOVA,25 MAR 1965,BUL,1.0,,Cagliari (ITA),16 SEP 1987,1289
6,2.07,,Stefka KOSTADINOVA,25 MAR 1965,BUL,1.0,,Sofia (BUL),03 SEP 1988,1289
6,2.07,,Heike HENKEL,05 MAY 1964,GER,1.0,,Karlsruhe (GER) (i),08 FEB 1992,1289
6,2.07,,Blanka VLAŠIĆ,08 NOV 1983,CRO,1.0,,Stockholm (SWE),07 AUG 2007,1289
6,2.07,,Anna CHICHEROVA,22 JUL 1982,RUS,1.0,,Cheboksary (RUS),22 JUL 2011,1289
13,2.06,,Stefka KOSTADINOVA,25 MAR 1965,BUL,1.0,,Moskva (URS),18 AUG 1985,1279
13,2.06,,Stefka KOSTADINOVA,25 MAR 1965,BUL,1.0,,Fürth (GER),15 JUN 1986,1279
13,2.06,,Stefka KOSTADINOVA,25 MAR 1965,BUL,1.0,,Cagliari (ITA),14 SEP 1986,1279
13,2.06,,Stefka KOSTADINOVA,25 MAR 1965,BUL,1.0,,Wörrstadt (GER),06 JUN 1987,1279
13,2.06,,Stefka KOSTADINOVA,25 MAR 1965,BUL,1.0,,Rieti (ITA),08 SEP 1987,1279
13,2.06,,Stefka KOSTADINOVA,25 MAR 1965,BUL,1.0,,Athina (GRE) (i),20 FEB 1988,1279
13,2.06,,Kajsa BERGQVIST,12 OCT 1976,SWE,1.0,,Eberstadt (GER),26 JUL 2003,1279
13,2.06,,Hestrie CLOETE,26 AUG 1978,RSA,1.0,,"Stade de France, Paris-St-Denis (FRA)",31 AUG 2003,1279
13,2.06,,Yelena SLESARENKO,28 FEB 1982,RUS,1.0,,"Olympic Stadium, Athina (GRE)",28 AUG 2004,1279
