Rank,Mark,WIND,Competitor,DOB,Unnamed: 5,Pos,Unnamed: 7,Venue,Date,Results Score
1,15.74,,Yulimar ROJAS,21 OCT 1995,VEN,1,,"Štark Arena, Beograd (SRB) (i)",20 MAR 2022,1297
2,15.67,0.7,Yulimar ROJAS,21 OCT 1995,VEN,1,,"National Stadium, Tokyo (JPN)",01 AUG 2021,1290
3,15.56,3.5,Yulimar ROJAS,21 OCT 1995,VEN,1,,"Stade Olympique de la Pontaise, Lausanne (SUI)",26 AUG 2021,1257
4,15.52,0.6,Yulimar ROJAS,21 OCT 1995,VEN,,,"Stade Olympique de la Pontaise, Lausanne (SUI)",26 AUG 2021,1274
5,15.5,0.9,Inessa KRAVETS,05 OCT 1966,UKR,1,,"Ullevi Stadium, Göteborg (SWE)",10 AUG 1995,1272
6,15.48,0.3,Yulimar ROJAS,21 OCT 1995,VEN,1,,"Letzigrund, Zürich (SUI)",09 SEP 2021,1270
7,15.47,1.9,Yulimar ROJAS,21 OCT 1995,VEN,1,,"Hayward Field, Eugene, OR (USA)",18 JUL 2022,1269
8,15.43,,Yulimar ROJAS,21 OCT 1995,VEN,1,,"Gallur, Madrid (ESP) (i)",21 FEB 2020,1265
8,15.43,0.7,Yulimar ROJAS,21 OCT 1995,VEN,1,,"Polideportivo Municipal, Andújar (ESP)",22 MAY 2021,1265
10,15.41,1.5,Yulimar ROJAS,21 OCT 1995,VEN,1,,Andújar (ESP),06 SEP 2019,1263
10,15.41,,Yulimar ROJAS,21 OCT 1995,VEN,1,,"Gallur, Madrid (ESP) (i)",02 MAR 2022,1263
12,15.39,0.5,Francoise MBANGO ETONE,14 APR 1976,CMR,1,,"National Stadium, Beijing (CHN)",17 AUG 2008,1260
13,15.37,-0.6,Yulimar ROJAS,21 OCT 1995,VEN,1,,"Khalifa International Stadium, Doha (QAT)",05 OCT 2019,1261
14,15.36,,Tatyana LEBEDEVA,21 JUL 1976,RUS,1,,"Sportaréna, Budapest (HUN) (i)",06 MAR 2004,1257
15,15.35,1.2,Yulimar ROJAS,21 OCT 1995,VEN,1,,"Hayward Field, Eugene, OR (USA)",16 SEP 2023,1256
